time-stamp,java-file,seed,smt-result,error-message,smt-time,total-time,data-nodes,ctrl-nodes,mem-nodes
2026-05-26 15:59:20.981367944 UTC,Test187.java,4514144549716476812,Unsat,,0.019219826s,0.140258948s,85,36,2
2026-05-26 15:59:26.646315725 UTC,Test188.java,12883991331266074087,Unsat,,0.011649703s,0.032918158s,11,4,2
2026-05-26 15:59:31.710539007 UTC,Test189.java,10845755281738158768,Unsat,,0.022939274s,0.139817478s,97,20,2
2026-05-26 15:59:37.425534563 UTC,Test190.java,9315356025778955779,Unsat,,0.013253949s,0.044824708s,19,4,2
2026-05-26 15:59:42.539427825 UTC,Test191.java,9144789437964543476,Unsat,,0.021925974s,0.099289478s,69,12,2
2026-05-26 15:59:48.136950744 UTC,Test192.java,10644163679526379576,Unsat,,0.011982483s,0.060199602s,58,12,2
2026-05-26 15:59:53.2466808 UTC,Test193.java,10066230969007737942,Unsat,,0.021499689s,0.112264354s,91,12,2
2026-05-26 15:59:58.800417366 UTC,Test194.java,954171539608577266,Unsat,,0.015962604s,0.068912219s,45,12,2
2026-05-26 16:00:04.268423689 UTC,Test195.java,9282358596575306658,Unsat,,0.027407016s,0.16028431s,96,12,9
2026-05-26 16:00:09.547552355 UTC,Test196.java,7680624997396402865,Unsat,,0.021600901s,0.125142643s,95,20,2
2026-05-26 16:00:15.203184432 UTC,Test197.java,3704552440561118660,Unknown,timeout,46.148379714s,46.293332671s,116,28,2
2026-05-26 16:01:07.036090592 UTC,Test198.java,8348184659300682957,Unsat,,0.03102626s,0.22196865s,159,28,2
2026-05-26 16:01:12.80489128 UTC,Test199.java,18056101662590691846,Unknown,timeout,47.818510406s,48.220192737s,306,104,37
2026-05-26 16:02:06.597693577 UTC,Test200.java,2806616521311346644,Unsat,,0.030444658s,0.176992351s,122,24,14
2026-05-26 16:02:12.323805474 UTC,Test201.java,1777003528554750986,Unsat,,0.025113256s,0.148049133s,103,24,8
2026-05-26 16:02:17.476075604 UTC,Test202.java,4466812975961684400,Unsat,,0.025622582s,0.123999097s,88,28,5
2026-05-26 16:02:23.011987393 UTC,Test203.java,7796478983246167735,Unsat,,0.022013012s,0.133499517s,127,12,2
2026-05-26 16:02:28.606966151 UTC,Test204.java,5782651115886370704,Unsat,,0.013397797s,0.042872206s,27,12,5
2026-05-26 16:02:33.855399065 UTC,Test205.java,2474151970761472064,Unsat,,0.048096454s,0.199654787s,141,28,2
2026-05-26 16:02:39.520092457 UTC,Test206.java,12985594171185824027,Unsat,,0.020376718s,0.08514803s,53,12,2
2026-05-26 16:02:45.023144345 UTC,Test207.java,15870929168370190239,Unknown,timeout,45.793469138s,45.902455242s,123,24,4
2026-05-26 16:03:36.330703528 UTC,Test208.java,6815010005297437434,Unsat,,0.020855526s,0.175261374s,108,28,5
2026-05-26 16:03:41.98221693 UTC,Test209.java,12409086056007645744,Unsat,,0.018425058s,0.080543724s,58,12,2
2026-05-26 16:03:47.588169611 UTC,Test210.java,16165582222986975326,Unsat,,0.011467968s,0.043923282s,28,8,5
2026-05-26 16:03:52.948339333 UTC,Test211.java,17784218733204382944,Unsat,,0.019229871s,0.098908179s,83,20,2
2026-05-26 16:03:58.587851574 UTC,Test212.java,9423786665420664669,Unsat,,0.022038333s,0.128923396s,96,25,5
2026-05-26 16:04:04.24668641 UTC,Test213.java,11077413167256522226,Unsat,,0.043140681s,0.200952279s,107,36,8
2026-05-26 16:04:09.944927508 UTC,Test214.java,16866306802174235571,Unsat,,0.02745641s,0.211250673s,148,36,2
2026-05-26 16:04:15.629547115 UTC,Test215.java,12400269793099452773,Unknown,timeout,46.356254013s,46.536339461s,151,44,4
2026-05-26 16:05:07.573898116 UTC,Test216.java,17325183082452138644,Unsat,,0.01807836s,0.056410927s,34,4,2
2026-05-26 16:05:12.724145835 UTC,Test217.java,7559162373246597126,Unknown,timeout,46.194438322s,46.405402131s,171,36,2
2026-05-26 16:06:04.586471698 UTC,Test218.java,10754561321025135825,Unsat,,0.015470816s,0.05438005s,18,4,2
2026-05-26 16:06:09.59415196 UTC,Test219.java,115200083790039492,Unsat,,0.014610514s,0.067382275s,41,12,4
2026-05-26 16:06:15.190072806 UTC,Test220.java,13919450871049932906,Unsat,,0.029074122s,0.423435534s,123,48,13
2026-05-26 16:06:21.585377507 UTC,Test221.java,3352255008535442364,Unsat,,0.015142918s,0.060387493s,36,4,2
2026-05-26 16:06:26.881175235 UTC,Test222.java,1764552441455996594,Unsat,,0.02166308s,0.266197383s,78,28,2
